"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1515","It seems that the new thing is little dinky bottles of #wine for when you get home after work and need a glass or t… https://t.co/uuYDvjmY6q",FALSE,0,NA,2017-11-15 15:04:57,TRUE,NA,"930813880959369216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LisLombard",0,FALSE,FALSE,NA,NA
"1516","In #sanfran with some of the @spigotinc team! #lifeofteala #wine #beer #teambuilding… https://t.co/TAbTWHJt29",FALSE,1,NA,2017-11-15 15:04:25,FALSE,NA,"930813746951229441",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","tealac",0,FALSE,FALSE,"-122.138","37.4293"
"1517","Chinet Stemless Wine Glasses $1.50 at @Safeway after the deal, save 50%!
https://t.co/YhN1UnvqZs
#SafewayDeals… https://t.co/4fZDdDFxMF",FALSE,0,NA,2017-11-15 15:03:36,TRUE,NA,"930813541757669381",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SuperSafeway",0,FALSE,FALSE,NA,NA
"1518","The latest The winenthusiast Daily! https://t.co/jBW8XtOeYb Thanks to @amarantoblook @lele57 @StefanoGh #wine #yorktownheights",FALSE,1,NA,2017-11-15 15:03:14,FALSE,NA,"930813446945419264",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","Cascinacarpini",1,FALSE,FALSE,NA,NA
"1519","Why not #treat yourself to a #midweek #getaway before #Christmas? Enjoy #bedandbreakfast &amp; a bottle of sparkling… https://t.co/CcS7B0yFaY",FALSE,6,NA,2017-11-15 15:02:46,TRUE,NA,"930813331845337088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheBBDirectory",1,FALSE,FALSE,NA,NA
"1520","Custom Wine Cellar Consultant Rolf Thohauge

https://t.co/kuiqHTV7i6 #wine https://t.co/zRsh1xPwQF",FALSE,1,NA,2017-11-15 15:02:04,FALSE,NA,"930813157068693504",NA,"<a href=""http://meetedgar.com"" rel=""nofollow"">Meet Edgar</a>","NatalieMacLean",1,FALSE,FALSE,NA,NA
"1521","The #Arab #poet who worshipped #wine | #AbuNuwas  https://t.co/4N2SlsTtn7",FALSE,2,NA,2017-11-15 15:02:03,FALSE,NA,"930813149250506753",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThomasVitins",1,FALSE,FALSE,NA,NA
"1522","Is #China taking luxury #Wine and #Art market share away from Western consumers? https://t.co/DyMb1bbXfv https://t.co/SRwRt0Vczl",FALSE,0,NA,2017-11-15 15:02:00,FALSE,NA,"930813140304089089",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","wilsonslawcom",2,FALSE,FALSE,NA,NA
"1523","Get Wine for $4 a Glass this Wine Wednesday at Brooks Bar! Show this Post to Your Bartender to Redeem! #BrooksBar… https://t.co/hc6TFzjDPv",FALSE,0,NA,2017-11-15 15:01:59,TRUE,NA,"930813132553048070",NA,"<a href=""http://app.sendblur.com"" rel=""nofollow"">Social Media Publisher App </a>","Brooksbar951",1,FALSE,FALSE,NA,NA
"1524","#wine #<U+30EF><U+30A4><U+30F3> #Saint-Joseph #<U+30B5><U+30F3><U+30B8><U+30E7><U+30BB><U+30D5> #Syrah #100% #DomainePierreGaillard #<U+30C9><U+30E1><U+30FC><U+30CC><U+30D4><U+30A8><U+30FC><U+30EB><U+30AC><U+30A4><U+30E4><U+30FC><U+30EB> #2015 #<U+8D64><U+30EF><U+30A4><U+30F3>… https://t.co/TdKl5EVwgx",FALSE,0,NA,2017-11-15 15:01:45,FALSE,NA,"930813075468337155",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","kyoushawine",1,FALSE,FALSE,NA,NA
"1525","Be the #HostessWithTheMostest this #Holiday #Season! Get a #Wine #Cork #Wreath by… https://t.co/wHwk5yehQv",FALSE,1,NA,2017-11-15 15:01:39,FALSE,NA,"930813051820838922",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","3547_678",1,FALSE,FALSE,NA,NA
"1526","@winewankers My solution?  Retire, and don't have a work week. #wine",FALSE,1,"winewankers",2017-11-15 15:01:29,FALSE,"930186974069112832","930813007306936321","1969630836","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","EdB1947",1,FALSE,FALSE,NA,NA
"1527","Refreshing our <ed><U+00A0><U+00BC><ed><U+00B7><U+00AA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> #wine list @Restotapeo @SAQCellier @FoodWineSpain @exportingSpain @MTLaTABLE @Monmontreal… https://t.co/OtZ9ovBj0R",FALSE,8,NA,2017-11-15 15:01:20,TRUE,NA,"930812972225703937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MunizMe",2,FALSE,FALSE,NA,NA
"1528","Wine Slushie Recipes:
Orange Peach Mimosa Slushies- It's perfect. It's the perfect mimosa.
https://t.co/2ap12Cl0k3… https://t.co/yvustvKjJi",FALSE,0,NA,2017-11-15 15:01:16,TRUE,NA,"930812954290937856",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","winebutler",1,FALSE,FALSE,NA,NA
"1529","Did you know most European wines are made from American vines? #travel #wine",FALSE,0,NA,2017-11-15 15:01:10,FALSE,NA,"930812927220834305",NA,"<a href=""http://tool.likeablebusiness.com/"" rel=""nofollow"">Likeable Business</a>","Dellatoffolausa",1,FALSE,FALSE,NA,NA
"1530","The latest The worldmusic Daily! https://t.co/bjM4Flnsx8 #wine",FALSE,0,NA,2017-11-15 15:01:09,FALSE,NA,"930812922607087616",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","cronicasdaterra",0,FALSE,FALSE,NA,NA
"1531","We are here for all your pre @JanetJackson show needs at the #BarclaysCenter. Stop in for some fine food,… https://t.co/NTZv0CHhlk",FALSE,0,NA,2017-11-15 15:01:07,TRUE,NA,"930812914449121282",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","TheDouglassBK",1,FALSE,FALSE,NA,NA
"1532","Join me and my #wine industry colleagues at USBEVX in D.C. next February. https://t.co/4qLBsvUPDM https://t.co/gKaZVH3d63",FALSE,0,NA,2017-11-15 15:00:33,FALSE,NA,"930812772023177216",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","MonikaElling",1,FALSE,FALSE,NA,NA
"1533","KITCHEN HACKS

https://t.co/czoZMAmm4o  

#realestate #realtor
#wine #decor #holidays
#DIY #foodie
#thanksgiving… https://t.co/TwMBBlW9ps",FALSE,3,NA,2017-11-15 15:00:29,TRUE,NA,"930812757691256833",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PrairieFrostBiz",2,FALSE,FALSE,NA,NA
"1534","Today on the #NittanyEpicurean the 2015 #PinotNoir #AndersonValley from @FELWines #wine
https://t.co/hMyOLzmQ6l https://t.co/9RDWxj4MPL",FALSE,0,NA,2017-11-15 15:00:03,FALSE,NA,"930812645803925504",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MichaelChelus",1,FALSE,FALSE,NA,NA
"1535","Vintage 1950s ""Nifty""Bottle Opener-Corkscrew Necklace by TheRetroActivator  https://t.co/G4kCpLPYqg via @Etsy… https://t.co/RPtrAN35DZ",FALSE,0,NA,2017-11-15 14:59:55,TRUE,NA,"930812614116106240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jrhathaway",1,FALSE,FALSE,NA,NA
"1536","A new young #wine is introduced nationwide tomorrow! It's a <ed><U+00A0><U+00BC><ed><U+00BD><U+00B7> that is purposely made to be cheap and easy to drink.… https://t.co/I98jBPJwGR",FALSE,1,NA,2017-11-15 14:59:40,TRUE,NA,"930812550471737346",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","FatTireParis",1,FALSE,FALSE,NA,NA
"1537","I'm celebrating national Zinfandel day with a glass of Champagne. #wine",FALSE,3,NA,2017-11-15 14:59:34,FALSE,NA,"930812524362194944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","timlemke",1,FALSE,FALSE,NA,NA
"1538","How can winemakers prevent frost? – ask Decanter  #wine #foodandwine https://t.co/xHplf0RJ5y",FALSE,0,NA,2017-11-15 14:59:27,FALSE,NA,"930812498630017026",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","englishwinesp",1,FALSE,FALSE,NA,NA
"1539","Just sold! It's never too early to think about #Christmas! #Wine #Cork #Deer #Reindeer #Rudolph… https://t.co/IZKTjVllNu",FALSE,0,NA,2017-11-15 14:59:20,FALSE,NA,"930812469026742272",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","3547_678",1,FALSE,FALSE,NA,NA
"1540","Private Visit in a farmhouse in Alberobello by Segway, E-Bike or Golf Cart #Apulia #food #wine https://t.co/jq1uEVib1U",FALSE,3,NA,2017-11-15 14:59:20,FALSE,NA,"930812467193708544",NA,"<a href=""http://max.unireipuntini.it"" rel=""nofollow"">vinify</a>","VinifyItaly",1,FALSE,FALSE,NA,NA
