1,1,281.64,140.32
2,1,281.63,140.34
3,1,281.61,140.35
4,1,281.6,140.36
5,1,281.58,140.38
6,1,281.57,140.39
7,1,281.56,140.4
8,1,281.54,140.42
9,1,281.53,140.43
10,1,281.51,140.44
11,1,281.5,140.46
12,1,281.48,140.47
13,1,281.47,140.49
14,1,281.45,140.5
15,1,281.44,140.51
16,1,281.42,140.53
17,1,281.41,140.54
18,1,281.39,140.56
19,1,281.38,140.57
20,1,281.36,140.58
21,1,281.35,140.6
22,1,281.34,140.61
23,1,281.32,140.62
24,1,281.31,140.64
25,1,281.29,140.65
26,1,281.28,140.66
27,1,281.27,140.68
28,1,281.26,140.69
29,1,281.24,140.7
30,1,281.23,140.71
31,1,281.22,140.72
32,1,281.21,140.74
33,1,281.2,140.75
34,1,281.19,140.76
35,1,281.18,140.77
36,1,281.17,140.78
37,1,281.16,140.79
38,1,281.15,140.8
39,1,281.14,140.81
40,1,281.13,140.82
41,1,281.13,140.83
42,1,281.12,140.83
43,1,281.11,140.84
44,1,281.11,140.85
45,1,281.1,140.86
46,1,281.1,140.86
47,1,281.09,140.87
48,1,281.09,140.88
49,1,281.08,140.88
50,1,281.08,140.89
51,1,281.08,140.9
52,1,281.08,140.9
53,1,281.08,140.9
54,1,281.08,140.91
55,1,281.08,140.91
56,1,281.08,140.92
57,1,281.08,140.92
58,1,281.08,140.92
59,1,281.08,140.93
60,1,281.08,140.93
61,1,281.09,140.93
62,1,281.09,140.93
63,1,281.1,140.93
64,1,281.1,140.93
65,1,281.11,140.93
66,1,281.12,140.94
67,1,281.12,140.94
68,1,281.13,140.93
69,1,281.14,140.93
70,1,281.15,140.93
71,1,281.16,140.93
72,1,281.17,140.93
73,1,281.18,140.93
74,1,281.2,140.93
75,1,281.21,140.92
76,1,281.22,140.92
77,1,281.24,140.92
78,1,281.25,140.91
79,1,281.27,140.91
80,1,281.28,140.91
81,1,281.3,140.9
82,1,281.32,140.9
83,1,281.34,140.89
84,1,281.36,140.89
