rt;conjunct;duration_frames;no;rowsize;gender;age;duration_measured;response;onset;key_t;delay_frames;present;offset;setsize;ID;condition;correct_resp
1.7038400173187256;1;180;1;9;male;99;3.004556179046631;t;0.3870549201965332;2.090894937515259;60;1;3.391611099243164;81;Sebber;visual_search;1
1.029904842376709;1;180;2;3;male;99;2.9995930194854736;t;3.4336841106414795;4.4635889530181885;60;1;6.433277130126953;9;Sebber;visual_search;1
0.835766077041626;0;180;3;7;male;99;3.005561113357544;y;6.653796911239624;7.48956298828125;60;0;9.659358024597168;49;Sebber;visual_search;1
0.5480790138244629;0;180;4;5;male;99;3.001840829849243;y;9.782128095626831;10.330207109451294;60;0;12.783968925476074;25;Sebber;visual_search;1
0.7348010540008545;0;180;5;9;male;99;3.0060980319976807;y;13.154284954071045;13.8890860080719;60;0;16.160382986068726;81;Sebber;visual_search;1
2.7181429862976074;1;180;6;9;male;99;2.9988300800323486;y;16.520370960235596;19.238513946533203;60;0;19.519201040267944;81;Sebber;visual_search;1
2.032014846801758;1;180;7;9;male;99;2.998257875442505;y;19.896443128585815;21.928457975387573;60;0;22.89470100402832;81;Sebber;visual_search;1
0.8688759803771973;0;180;8;7;male;99;3.004410982131958;t;23.116153955459595;23.985029935836792;60;1;26.120564937591553;49;Sebber;visual_search;1
1.4959900379180908;1;180;9;7;male;99;2.9972169399261475;y;26.34968900680542;27.84567904472351;60;0;29.346905946731567;49;Sebber;visual_search;1
0.6975080966949463;0;180;10;5;male;99;3.0019218921661377;t;29.521934032440186;30.219442129135132;60;1;32.52385592460632;25;Sebber;visual_search;1
0.6452219486236572;0;180;11;9;male;99;3.0000970363616943;t;32.88073801994324;33.525959968566895;60;1;35.88083505630493;81;Sebber;visual_search;1
1.2192628383636475;1;180;12;7;male;99;3.004931926727295;y;36.102275133132935;37.32153797149658;60;0;39.10720705986023;49;Sebber;visual_search;1
0.8009850978851318;1;180;13;7;male;99;3.0039000511169434;y;39.32780694961548;40.12879204750061;60;0;42.33170700073242;49;Sebber;visual_search;1
0.9998319149017334;1;180;14;5;male;99;3.0021300315856934;y;42.45482301712036;43.454654932022095;60;1;45.456953048706055;25;Sebber;visual_search;0
0.7610280513763428;0;180;15;3;male;99;2.9977810382843018;y;45.50064706802368;46.261675119400024;60;0;48.49842810630798;9;Sebber;visual_search;1
0.7174079418182373;0;180;16;9;male;99;3.003631830215454;t;48.921518087387085;49.63892602920532;60;1;51.92514991760254;81;Sebber;visual_search;1
0.6451480388641357;0;180;17;3;male;99;2.9977171421051025;t;51.968514919281006;52.61366295814514;60;1;54.96623206138611;9;Sebber;visual_search;1
0.8180809020996094;1;180;18;9;male;99;3.0049829483032227;t;55.35408306121826;56.17216396331787;60;1;58.359066009521484;81;Sebber;visual_search;1
0.6640911102294922;0;180;19;3;male;99;3.0001070499420166;y;58.4008469581604;59.06493806838989;60;0;61.40095400810242;9;Sebber;visual_search;1
1.7727468013763428;1;180;20;3;male;99;4.320424795150757;t;61.442397117614746;63.21514391899109;60;1;65.7628219127655;9;Sebber;visual_search;1
0.7051339149475098;1;180;21;7;male;99;3.0091590881347656;t;65.99685001373291;66.70198392868042;60;1;69.00600910186768;49;Sebber;visual_search;1
0.5946080684661865;0;180;22;3;male;99;2.998307943344116;y;69.04838705062866;69.64299511909485;60;0;72.04669499397278;9;Sebber;visual_search;1
0.5772769451141357;1;180;23;5;male;99;2.997074842453003;t;72.17478108406067;72.7520580291748;60;1;75.17185592651367;25;Sebber;visual_search;1
0.8060719966888428;1;180;24;7;male;99;3.0099070072174072;y;75.40509390830994;76.21116590499878;60;0;78.41500091552734;49;Sebber;visual_search;1
0.5506930351257324;0;180;25;5;male;99;3.0040130615234375;y;78.53534698486328;79.08604001998901;60;0;81.53936004638672;25;Sebber;visual_search;1
0.5469911098480225;1;180;26;3;male;99;2.9998550415039062;y;81.58149600028992;82.12848711013794;60;0;84.58135104179382;9;Sebber;visual_search;1
1.1249768733978271;1;180;27;9;male;99;3.009732961654663;y;84.94708609580994;86.07206296920776;60;0;87.9568190574646;81;Sebber;visual_search;1
0.6423959732055664;1;180;28;5;male;99;2.997642993927002;y;88.08524894714355;88.72764492034912;60;0;91.08289194107056;25;Sebber;visual_search;1
0.6333401203155518;1;180;29;3;male;99;3.0038609504699707;t;91.13669395446777;91.77003407478333;60;1;94.14055490493774;9;Sebber;visual_search;1
0.6153011322021484;0;180;30;7;male;99;3.0026960372924805;y;94.37999391555786;94.99529504776001;60;0;97.38268995285034;49;Sebber;visual_search;1
0.8317828178405762;1;180;31;5;male;99;3.0011279582977295;t;97.50680613517761;98.33858895301819;60;1;100.50793409347534;25;Sebber;visual_search;1
0.5624728202819824;0;180;32;9;male;99;2.9997408390045166;y;100.88409209251404;101.44656491279602;60;0;103.88383293151855;81;Sebber;visual_search;1
0.509749174118042;0;180;33;3;male;99;2.996861219406128;y;103.92872190475464;104.43847107887268;60;0;106.92558312416077;9;Sebber;visual_search;1
0.6900310516357422;0;180;34;3;male;99;3.0100488662719727;t;106.97480607032776;107.6648371219635;60;1;109.98485493659973;9;Sebber;visual_search;1
0.5511331558227539;0;180;35;5;male;99;3.0048770904541016;t;110.12116694450378;110.67230010032654;60;1;113.12604403495789;25;Sebber;visual_search;1
0.870837926864624;1;180;36;5;male;99;3.007153034210205;t;113.24496603012085;114.11580395698547;60;1;116.25211906433105;25;Sebber;visual_search;1
0.8534901142120361;1;180;37;7;male;99;3.006150007247925;t;116.47040390968323;117.32389402389526;60;1;119.47655391693115;49;Sebber;visual_search;1
0.5349349975585938;0;180;38;7;male;99;3.0051188468933105;t;119.71414113044739;120.24907612800598;60;1;122.7192599773407;49;Sebber;visual_search;1
